last,first,instructor_avg,course_avg,overall_avg,courses,confidence
Trygstad,Raymond,4.3,4.11,4.205,"['ITM454', 'ITM478', 'ITM460', 'ITM100', 'ITM470', 'ITM456', 'ITMS478', 'ITMD460', 'ITMO456', 'ITMM485', 'ITMO556', 'ITMS578', 'IT']",24
Turitto,Vincent,3.95,3.77,3.8600000000000003,"['BME490', 'BME500', 'BME581', 'BME501', 'BME100']",2
Turley,Christopher,4.67,4.44,4.555,['ARCH305'],1
Tuttle,Steven,,,,['SOC200'],
Tuz,Karina,4.11,3.89,4.0,"['BIOL109', 'BIOL527', 'BIOL440']",3
Twombly,John,4.17,4.12,4.145,"['BUS211', 'ECON423', 'INTM408', 'BUS212', 'BUS351', 'BUS497', 'MBA501']",32
Uhlir,Edward,4.57,4.71,4.640000000000001,['ARCH454'],1
Uhlmann,Eric,4.41,4.09,4.25,['PSYC502'],1
Unni,Aditya,4.07,3.95,4.01,"['CHEM235', 'CHEM239', 'CHEM237', 'CHEM455', 'CHEM530', 'CHEM240', 'CHEM485', 'CHEM434']",8
Vaccaro,Kevin,4.44,4.3,4.37,"['ITM440', 'ITM441', 'ITMS448', 'ITMO441', 'ITMS443', 'ITMS543', 'IT']",14
Vallejo,Rodney,,,,['PSYC250'],
Van Benthuysen,John,4.8,4.53,4.665,['PS200'],1
VanDame,Robert,4.0,4.14,4.07,"['ITM495', 'ITMM464']",1
Van Overberghe,Courtney,,,,['PSYC301'],
Van Someren,Matthew,,,,['PA510'],
Van Vliet,Benjamin,4.37,4.38,4.375,"['MSF503', 'MSF574', 'MSF575', 'MSF576', 'BUS497']",18
VanDame,Robert,4.0,4.14,4.07,"['ITM495', 'ITMM464']",1
Venerus,David,4.13,3.97,4.05,"['CHE406', 'CHE551', 'CHE351', 'CHE301']",12
Vernale,Michael,4.48,4.09,4.285,['PSYC222'],2
Vernau,Carrie,4.41,4.1,4.255,"['BUS455', 'BUS301', 'BUS100']",4
Veselinovic,Dusan,4.27,4.32,4.295,"['ECE436', 'ECE437']",3
Vesselinovitch,Andrew,4.28,4.28,4.28,"['ARCH497', 'CRP520']",2
Vinuesa Motilva,Ricardo,4.92,4.31,4.615,['MMAE322'],1
Vogler,Jesse,4.27,3.94,4.1049999999999995,"['ARCH543', 'LA501', 'LA542']",3
Vural,Murat,3.76,3.99,3.875,"['CAE503', 'MMAE100', 'MMAE482', 'IPRO497', 'MMAE202', 'MMAE416', 'MMAE419', 'MMAE530', 'MMAE319', 'MMAE200']",23
Wad,Atul,,,,['IPRO497'],
Wagman,Liad,4.83,4.72,4.775,"['ECON151', 'ECON211', 'BUS382', 'MBA505', 'MSC511', 'ECON152', 'MBA523']",19
Wallace,Sean,3.99,4.05,4.02,['CS450'],4
Walsh,Seanna,,,,['ARCH207'],
Walz,Elizabeth,,,,"['COM126', 'LIT380']",
Wan,Jason,4.19,4.26,4.225,"['FPE531', 'FST531', 'FDSN531']",8
Wan,Peng-Jun,3.98,3.97,3.975,"['CS547', 'CS595', 'CS430', 'CS330']",11
Wang,Haizhi,4.63,4.52,4.574999999999999,"['MSF502', 'MSF566', 'MSC621', 'MSC515', 'MSF595', 'MSC512', 'MSF534']",11
Wang,Jia,4.44,4.42,4.43,"['ECE587', 'ECE429', 'ECE449', 'ECE218', 'ECE586']",23
Wang,Rong,4.36,4.18,4.27,"['CHEM343', 'CHEM597', 'CHEM550', 'CHEM584', 'CHEM538', 'CHEM100', 'CHEM497']",9
Wang,Wenyan,3.81,3.63,3.7199999999999998,['MMAE545'],1
Wang,Yang,4.22,4.12,4.17,"['BIOL404', 'BIOL519']",2
Ward,Amanda,3.86,3.59,3.7249999999999996,['SOC208'],1
Wark,Candace,3.99,3.93,3.96,"['MMAE310', 'MMAE452', 'MMAE311', 'CHE301', 'IPRO497', 'MMAE313', 'MMAE315', 'MMAE312']",16
Wasan,Darsh,4.6,4.6,4.6,['CHE582'],1
Washington,Terrell,4.82,4.73,4.775,"['MILS147', 'MILS148']",1
Waterloo,Daniel,,,,['INTM477'],
Waters,Michael,4.64,4.29,4.465,"['AAH119', 'AAH380', 'AAH120']",5
Watson,Jeremy,4.36,4.02,4.1899999999999995,"['PSYC301', 'PSYC436', 'PSYC380']",4
Webb,Rosemarie,3.86,3.49,3.675,"['ARCH201', 'CRP201', 'ARCH544']",4
Weber,Christopher,,,,['AS102'],
Weening,Fred,4.31,4.1,4.205,"['MATH152', 'MATH151', 'MATH251', 'MATH130']",30
Weil,Vivian,4.0,3.81,3.9050000000000002,['PHIL370'],1
Weinstein,Cynthia,3.87,3.67,3.77,['PSYC303'],1
Weir,Arthur,3.56,3.21,3.385,"['ARCH465', 'ARCH565', 'ARCH424']",6
Mueller,Suzanne,4.24,4.15,4.195,"['BUS473', 'MBA581', 'BUS371', 'BUS100', 'MAC502']",11
Welsh,Lee,4.28,4.28,4.28,['CAE471'],10
Wereszczynski,Jeffery,4.2,4.17,4.1850000000000005,"['PHYS410', 'PHYS221', 'PHYS304']",3
Wernick,Miles,4.46,4.41,4.4350000000000005,"['ECE481', 'ECE566']",6
Wetzel,Catherine,4.2,4.07,4.135,"['ARCH506', 'ARCH541', 'ARCH542', 'ARCH507', 'ARCH543', 'ARCH418', 'ARCH417', 'ARCH497', 'ARCH440']",15
White,Alexander,3.57,3.71,3.6399999999999997,['NS302'],1
White,Christopher,4.44,4.1,4.27,"['MSED544', 'PHYS200', 'PHYS223', 'PHYS221']",7
Whitney,Stephanie,,,,['MSED501'],
Widlak,Izabela,4.04,3.83,3.935,['PSYC301'],1
Wiedman,Thomas,4.0,4.1,4.05,['ECE554'],1
Wigen,Jeffrey,4.33,2.94,3.635,"['ARCH107', 'ARCH108']",1
Williams,Amanda,4.17,4.33,4.25,"['ARCH113', 'ARCH114', 'ARCH305', 'ARCH306', 'ARCH497']",12
Williams,Bradford,,,,['PSYC301'],
Williams,David,4.42,4.32,4.37,"['MMAE516', 'MMAE312', 'MMAE315', 'MMAE452', 'MMAE410', 'MMAE415', 'MMAE414']",15
Williams,Elizabeth,3.98,3.9,3.94,"['ARCH306', 'ARCH201', 'ARCH202']",6
Williamson,Geoffrey,4.57,4.36,4.465,"['ECE308', 'ECE567', 'ECE438', 'ECE535', 'ECE569', 'ECE531', 'ECE505']",21
Wills,Douglas,3.67,3.57,3.62,"['IPRO497', 'IPRO397']",4
Wimer,Ross,4.39,4.55,4.47,"['ARCH545', 'ARCH418', 'ARCH417', 'ARCH593']",6
Winans,Vida,3.5,3.78,3.6399999999999997,"['CS115', 'CS116', 'CS201', 'CS104', 'CS497', 'CS495']",19
Winkin,David,4.63,3.38,4.005,['IPRO497'],1
Wojcik,Russell,4.55,4.6,4.574999999999999,"['MSF584', 'MSF585']",7
Wolf,Theodore,4.67,4.67,4.67,['LA543'],1
Womack,Jay,4.42,4.11,4.265000000000001,"['LA567', 'LA497', 'LA568']",3
Wong,Thomas,3.87,3.9,3.885,"['ECE311', 'ECE509', 'IPRO497', 'ECE312', 'ECE421', 'ECE576', 'ECE575', 'ECE307', 'ECE571', 'ECE578']",25
